 Brand,Model,Ex-Showroom_Price(Rs.),Cylinders,Emission_Norm(BS),Fuel Capacity,Fuel_Type,Body_Type,ARAI Certified Mileage,Seating_Capacity,Type,Wheelbase,Boot_Space
Bmw,3-Series,4790000,4,6,59,Petrol,Sedan,16.13,5,Automatic,2810,480
Bmw,5-Series,6680000,6,4,70,Diesel,Sedan,14.69,5,Automatic,2968,520
Bmw,6-Series,7450000,6,4,88,Diesel,Sedan,16.46,4,Automatic,3210,420
Bmw,X7,10490000,6,6,80,Petrol,SUV,13.38,7,Automatic,3105,326
Bmw,M4,13590000,6,4,60,Petrol,Coupe,10.75,4,Automatic,2812,368
Bmw,M5,15490000,8,6,68,Petrol,Sedan,9.8,4,Automatic,2964,530
Bmw,Z4 Roadster,7890000,6,6,52,Petrol,Sports Convertible,7.6,2,Automatic,2470,281
Bmw,7-Series,24250000,12,6,78,Petrol,Sedan,7.96,4,Automatic,3110,500
Bmw,X3,5930000,4,4,67,Diesel,SUV,18.56,5,Automatic,2810,550
Bmw,M2 Competition,8180000,6,6,52,Petrol,Coupe,9.8-10.0  ,4,Automatic,2693,460
Bmw,X4,6590000,6,6,68,Diesel,SUV,16.4,5,Automatic,2864,1400
Bmw,X5,8290000,6,4,50,Petrol,SUV,11.24,5,Automatic,2575,650
Bugatti,Chiron,212155397,16,6,45,Petrol,Sports,5.95,2,Automatic,2710,420
Datsun,Redi-Go,279650,3,4,28,Petrol,Hatchback,25.17,5,Manual,2348,222
Datsun,Go,374990,3,4,35,Petrol,Hatchback,20.1,5,Manual,2450,265
Datsun,Go,468229,3,4,35,Petrol,Hatchback,20.1,5,Manual,2450,265
Datsun,Go+,412292,3,4,35,Petrol,MPV,20.6,7,Manual,2450,347
Dc,Avanti,3407407,4,4,60,Petrol,Coupe,10,2,Manual,2700,420
Ferrari,Portofino,35000000,8,4,92,Petrol,Convertible,9,2,Automatic,2669,240
Ferrari,458 Speciale,42531500,8,4,86,Petrol,Coupe,9,2,Automatic,2650,230
Ferrari,488 Gtb,36761413,8,4,78,Petrol,Coupe,5.5,2,Automatic,2650,230
Ferrari,Gtc4 Lusso,52000000,8,4,91,Petrol,Coupe,5.5,4,Automatic,2990,450
Ferrari,458 Spider,43367500,8,4,86,Petrol,Coupe Convertible,5.5,2,Automatic,2650,230
Ferrari,812 Superfast,52000000,12,4,92,Petrol,Coupe,14.9,2,Automatic,2720,650
Fiat,Urban Cross,977516,4,4,45,Petrol,Crossover,17.1,5,Manual,2510,420
Fiat,Avventura,876341,4,4,45,Diesel,Crossover,20.5,5,Manual,2510,280
Fiat,Abarth Avventura,989219,4,4,45,Petrol,Crossover,17.1,5,Manual,2510,420
Fiat,Linea,715860,4,4,45,Petrol,Sedan,15.7,5,Manual,2603,500
Fiat,Punto Evo Pure,575947,4,4,45,Diesel,Hatchback,20,5,Manual,2510,280
Fiat,Linea Classic,751203,4,4,45,Diesel,Sedan,19.5,5,Manual,2603,500
Fiat,Abarth Punto,980970,4,4,55,Petrol,Hatchback,16.3,5,Manual,2510,420
Fiat,Punto Evo,535562,4,4,45,Petrol,Hatchback,15.7,5,Manual,2510,280
Force,Gurkha,1225000,4,4,63,Diesel,SUV,17,5,Manual,2400,420
Ford,Freestyle,676400,4,4,40,Diesel,Crossover,24.4,5,Manual,2490,257
Ford,Aspire,598500,4,4,42,Petrol,Sedan,20.4,5,Manual,2490,420
Ford,Ecosport,871000,3,6,52,Petrol,SUV,17,5,Manual,2519,352
Ford,Endeavour,3233000,4,4,80,Diesel,SUV,12.62,7,Automatic,2850,430
Ford,Mustang,7462000,8,4,60.9,Petrol,Sedan Coupe,13,4,Automatic,2720,420
Ford,Figo,523000,4,4,42,Petrol,Hatchback,20.4,5,Manual,2490,420
Honda,Jazz,909000,4,4,40,Petrol,Hatchback,19,5,Automatic,2530,354
Honda,Brv,1052900,4,4,42,Petrol,SUV,15.4,7,Manual,2662,223
Honda,Civic,1944900,4,6,47,Petrol,Sedan,16.5,5,Automatic,2700,430
Honda,A ord Hybrid,4321237,4,4,60,Hybrid,Sedan,23.1,5,Automatic,2776,400
Honda,Amaze,705000,4,6,35,Diesel,Sedan,27.4,5,Manual,2470,420
Honda,Wr-V,1035000,3,4,40,Diesel,SUV,25.5,5,Manual,2555,363
Honda,Cr-V,2827001,4,6,57,Petrol,SUV,14.4,5,Automatic,2660,522
Honda,City,991000,4,6,40,Petrol,Sedan,17.4,5,Manual,2600,510
Hyundai,Santro,503990,4,4,35,Petrol,Hatchback,20.3,5,Manual,2400,420
Hyundai,Xcent Prime,536859,4,4,43,Petrol,Sedan,15.7,5,Manual,2425,407
Hyundai,Elite I20,934003,4,4,45,Diesel,Hatchback,22.54,5,Manual,2570,285
Hyundai,Aura,705800,3,6,37,Petrol,Sedan,20.1,5,Automatic,2450,420
Hyundai,Verna,1172999,4,4,45,Petrol,Sedan,17.7,5,Manual,2600,465
Hyundai,Grand I10 Prime,477511,4,4,43,Petrol,Hatchback,19.77,5,Manual,2425,256
Hyundai,Venue,959000,4,4,45,Petrol,SUV,18.27,5,Manual,2500,350
Hyundai,Elantra,1849000,4,6,50,Petrol,Sedan,14.6,5,Manual,2700,420
Hyundai,Tucson,2187384,4,4,62,Petrol,SUV,12.95,5,Automatic,2670,420
Hyundai,Grand I10,653452,4,4,43,CNG,Hatchback,19.77,5,Manual,2425,256
Hyundai,Creta,1414247,4,4,55,Diesel,SUV,19.67,5,Manual,2590,400
Hyundai,Grand I10 Nios,804450,3,6,37,Diesel,Hatchback,20.7,5,Manual,2450,256
Hyundai,Kona Electric,2371858,3,4,45,Electric,SUV,11,4,Automatic,2600,420
Icml,Extreme,835275,4,3,50,Diesel,SUV,11.12,9,Manual,2541,420
Isuzu,Mu-X,2931534,4,4,76,Diesel,SUV,13.8,7,Automatic,2845,420
Isuzu,Dmax V-Cross,1999000,4,4,50,Diesel,Pick-up,10.3,5,Automatic,3095,265
Jaguar,F-Pace,6422809,4,4,60,Petrol,SUV,21.27,5,Automatic,2874,650
Jaguar,F-Type,23659454,3,4,45,Petrol,Convertible,11,2,Automatic,2622,420
Jaguar,Xj,11129599,6,4,82,Diesel,Sedan,12.9,5,Automatic,3157,478
Jaguar,Xf,5436329,4,4,74,Petrol,Sedan,13.12,5,Automatic,2960,505
Jaguar,Xe,4498000,4,6,61,Petrol,Sedan,11,5,Automatic,2835,455
Jeep,Compass,2196000,6,6,60,Diesel,SUV,17.1,5,Automatic,2636,420
Jeep,Wrangler,6394000,4,6,85,Petrol,SUV,8.4,5,Automatic,3008,420
Jeep,Compass Trailhawk,2680000,4,6,60,Diesel,SUV,16.3,5,Automatic,2636,438
Jeep,Grand Cherokee,7515000,6,4,93.5,Petrol,SUV,8.61,5,Automatic,2915,1025
Kia,Carnival,3395000,4,6,45,Diesel,MUV,11,7,Automatic,3060,540
Kia,Seltos,1414000,3,6,60,Diesel,SUV,20,5,Manual,2610,433
Lamborghini,Urus,30000000,8,4,75,Petrol,SUV,7.8,5,Automatic,3003,616
Lamborghini,Huracan,32200000,10,6,90,Petrol,Coupe,10.6,2,Automatic,2620,70
Lamborghini,Aventador,47467700,12,4,90,Petrol,Coupe,5,2,Automatic,2700,110
Land Rover,Discovery,10205494,6,4,85,Diesel,SUV,18,7,Automatic,2922,258
Land Rover,Discovery Sport,6089000,4,6,70,Diesel,SUV,11,7,Automatic,2741,420
Land Rover Rover,Range Evoque,5985000,4,6,45,Petrol,SUV,11,5,Automatic,2681,420
Land Rover Rover,Range Velar,7246802,4,4,65,Petrol,SUV,12.63,5,Automatic,2874,420
Lexus,Es,5695000,4,4,45,Hybrid,Sedan,17.8,5,Automatic,2870,420
Lexus,Nx 300H,6060000,6,4,56,Petrol,SUV,18.3,5,Automatic,2660,475
Lexus,Lc 500H,19600000,6,4,82,Hybrid,Coupe,11,4,Automatic,2870,133
Lexus,Lx 450D,23290000,3,4,93,Diesel,SUV,18,7,Automatic,2850,420
Lexus,Ls 500H,19371000,6,4,82,Hybrid,SUV,15.4,5,Automatic,3125,430
Lexus,Lx 570,23290000,3,4,93,Diesel,SUV,18,7,Automatic,2850,420
Lexus,Rx 450H,9900000,6,4,65,Petrol,SUV,18,5,Automatic,2790,420
Mahindra,Verito Vibe,750428,4,4,50,Diesel,Hatchback,20.08,5,Manual,2630,330
Mahindra,Bolero Power Plus,819117,4,3,60,Diesel,SUV,15.96,9,Manual,2794,420
Mahindra,Xuv300,999000,4,6,42,Diesel,SUV,20,5,AMT,2600,259
Mahindra,Thar,974860,4,4,60,Diesel,SUV,13,6,Manual,2430,600
Mahindra,Tuv300 Plus,992748,3,4,60,Diesel,SUV,18.49,9,Manual,2680,384
Mahindra,Marazzo,1156471,4,4,45,Diesel,MPV,17.3,7,Manual,2760,420
Mahindra,Scorpio,1330006,4,4,60,Diesel,SUV,15.4,9,Manual,2680,420
Mahindra,Xuv500,1610180,4,4,70,Petrol,SUV,13.85,7,Automatic,2700,96
Mahindra,E Verito,1293214,3,4,45,Electric,Sedan,11,5,Automatic,2630,510
Mahindra,Kuv100 Nxt,631144,3,4,35,Petrol,Hatchback,18.15,6,Manual,2385,243
Mahindra,Tuv300,1055259,3,4,60,Diesel,SUV,18.49,7,Manual,2680,384
Mahindra,Xylo,963037,4,4,55,Diesel,SUV,13.9,7,Manual,2760,400
Mahindra,Bolero,942263,4,4,60,Diesel,SUV,15.96,7,Manual,2680,1702
Mahindra,Verito,845154,4,4,50,Diesel,Sedan,21,5,Manual,2630,330
Mahindra,Alturas G4,3070150,4,4,70,Diesel,SUV,12.05,7,Automatic,2865,680
Maruti Suzuki,Eeco,425255,4,6,40,CNG,MPV,20,5,Manual,2350,400
